School,All,Fulltime,Associate,Assistant
Amherst,125628.26,142275.14,101330.48,85859.19
Bates,115652.45,153180.84,119842.08,85861.90
Bowdoin,107266.12,137458.10,106404.66,85505.67
Carleton,114797.22,137914.07,104637.20,86389.28
Claremont McKenna,47396.84,60401.57,43918.27,37273.72
Colby,135057.05,177062.63,128385.65,106845.76
Colgate,126267.67,175008.27,125185.08,106703.89
Davidson,85206.33,112094.77,81738.11,66457.58
Furman,97884.68,114330.64,92360.22,78315.04
Grinnell,132412.61,168585.75,127936.47,105974.48
Hamilton,133976.12,176975.85,134646.75,110036.56
Haverford,29890.90,38827.97,29905.27,25147.97
Macalester,100322.46,128355.17,96464.81,80891.65
Middlebury,115318.17,144318.12,107290.42,92760.75
Oberlin,119806.14,150850.24,116747.99,88622.53
Pomona,43366.66,55048.30,41165.65,33829.90
Swarthmore,108290.18,136943.89,97664.77,76816.33
Vassar,108955.68,139218.59,108706.08,87026.19
Washington and Lee,135641.62,164424.25,132259.24,108761.39
Wesleyan,108809.04,154335.00,108121.36,88835.87
Williams,121289.13,148553.85,105085.38,92992.75
