Year,Endowment,Enrollment,Per Student,Year,Endowment,Faculty,Per Faculty Member
1999,435541794.00,1652.00,263645.00,1999,435541793.97,152.00,2865406.54
2000,502842801.00,1679.00,299489.00,2000,502842800.75,153.00,3286554.25
2001,467829553.00,1673.00,279635.00,2001,467829553.49,153.00,3057709.50
2002,419173625.00,1644.00,254972.00,2002,419173624.61,154.00,2721906.65
2003,400619058.00,1712.00,234006.00,2003,400619057.89,158.00,2535563.66
2004,454671081.00,1714.00,265269.00,2004,454671081.24,158.00,2877665.07
2005,506063388.00,1683.00,300691.00,2005,506063388.10,159.00,3182788.60
2006,541785214.00,1667.00,325006.00,2006,541785213.74,162.00,3344353.17
2007,610433448.00,1664.00,366847.00,2007,610433448.02,164.00,3722155.17
2008,613288483.00,1668.00,367679.00,2008,613288483.42,166.00,3694508.94
2009,456240342.00,1743.00,261756.00,2009,456240341.97,163.00,2799020.50
2010,512021847.00,1742.00,293928.00,2010,512021847.26,167.00,3065999.09
2011,590935426.00,1756.00,336524.00,2011,590935425.88,162.00,3647749.54
2012,574979766.00,1790.00,321218.00,2012,574979765.65,170.00,3382233.92
2013,627431272.00,1788.00,350912.00,2013,627431272.13,174.00,3605926.85
2014,710347888.00,1770.00,401326.00,2014,710347887.95,179.00,3968423.96
2015,745426067.00,1784.00,417840.00,2015,745426067.00,176.00,4235375.38
2016,713902276.00,1796.00,397496.00,2016,713902276.30,185.00,3858931.22
2017,771194621.00,1810.00,426074.00,2017,771194620.80,188.00,4102099.05
2018,846990293.00,1843.00,459572.00,2018,846990292.56,196.00,4321379.04
2019,892340575.00,1837.00,485760.00,2019,892340574.54,203.00,4395766.38
2020,905857948.00,1983.00,456812.00,2020,905857948.30,202.00,4484445.29
