School,All,Fulltime,Associate,Assistant
Amherst,115573.38,155832.57,110986.29,93328.94
Bates,101538.59,134487.13,105216.93,85861.90
Bowdoin,114600.56,146856.94,113680.19,91352.21
Carleton,117620.10,141305.40,107210.25,88513.61
Claremont McKenna,138183.20,176097.86,128041.61,108669.75
Colby,111341.34,145970.84,105841.43,88083.89
Colgate,109417.39,151653.61,108479.27,92464.38
Davidson,102411.45,134729.29,98242.92,79876.90
Furman,87946.70,102722.95,82983.13,70363.92
Grinnell,109613.09,139557.74,105907.67,87727.22
Hamilton,107611.34,142149.28,108150.00,88382.78
Haverford,100982.76,131175.59,101031.32,84959.35
Macalester,98937.34,126583.01,95132.95,79774.80
Middlebury,112177.21,140387.28,104368.11,90234.19
Oberlin,97482.62,122742.26,94994.30,72109.46
Pomona,126433.41,160490.68,120016.47,98629.45
Swarthmore,123618.93,156328.64,111489.46,87689.87
Vassar,111749.42,142788.30,111493.42,89257.63
Washington and Lee,118671.58,143853.24,115712.37,95154.32
Wesleyan,111713.59,158454.83,111007.56,91207.26
Williams,122390.65,149902.98,106039.74,93837.29
