School,All,Fulltime,Associate,Assistant,All-COLA,Fulltime-COLA,Associate-COLA,Assistant-COLA
Amherst,115573.38,155832.57,110986.29,93328.94,125628.26,142275.14,101330.48,85859.19
Bates,101538.59,134487.13,105216.93,85861.90,115652.45,153180.84,119842.08,85861.90
Bowdoin,114600.56,146856.94,113680.19,91352.21,107266.12,137458.10,106404.66,85505.67
Carleton,117620.10,141305.40,107210.25,88513.61,114797.22,137914.07,104637.20,86389.28
Claremont McKenna,138183.20,176097.86,128041.61,108669.75,47396.84,60401.57,43918.27,37273.72
Colby,111341.34,145970.84,105841.43,88083.89,135057.05,177062.63,128385.65,106845.76
Colgate,109417.39,151653.61,108479.27,92464.38,126267.67,175008.27,125185.08,106703.89
Davidson,102411.45,134729.29,98242.92,79876.90,85206.33,112094.77,81738.11,66457.58
Furman,87946.70,102722.95,82983.13,70363.92,97884.68,114330.64,92360.22,78315.04
Grinnell,109613.09,139557.74,105907.67,87727.22,132412.61,168585.75,127936.47,105974.48
Hamilton,107611.34,142149.28,108150.00,88382.78,133976.12,176975.85,134646.75,110036.56
Haverford,100982.76,131175.59,101031.32,84959.35,29890.90,38827.97,29905.27,25147.97
Macalester,98937.34,126583.01,95132.95,79774.80,100322.46,128355.17,96464.81,80891.65
Middlebury,112177.21,140387.28,104368.11,90234.19,115318.17,144318.12,107290.42,92760.75
Oberlin,97482.62,122742.26,94994.30,72109.46,119806.14,150850.24,116747.99,88622.53
Pomona,126433.41,160490.68,120016.47,98629.45,43366.66,55048.30,41165.65,33829.90
Swarthmore,123618.93,156328.64,111489.46,87689.87,108290.18,136943.89,97664.77,76816.33
Vassar,111749.42,142788.30,111493.42,89257.63,108955.68,139218.59,108706.08,87026.19
Washington and Lee,118671.58,143853.24,115712.37,95154.32,135641.62,164424.25,132259.24,108761.39
Wesleyan,111713.59,158454.83,111007.56,91207.26,108809.04,154335.00,108121.36,88835.87
Williams,122390.65,149902.98,106039.74,93837.29,121289.13,148553.85,105085.38,92992.75
